City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Ambilobe,-13.2,49.05,65.25,79,0,3.87,MG,2021-09-24 01:53:52
68,Georgetown,5.4112,100.3354,85.93,80,20,1.01,MY,2021-09-24 01:53:52
69,Yulara,-25.2406,130.9889,75.04,10,12,6.91,AU,2021-09-24 01:53:53
70,Hearst,49.6835,-83.6665,44.85,80,100,3.98,CA,2021-09-24 01:53:53
71,Leningradskiy,69.3833,178.4167,28.63,90,100,12.68,RU,2021-09-24 01:53:53
72,Atuona,-9.8,-139.0333,78.1,73,28,17.2,PF,2021-09-24 01:53:54
73,Goderich,43.7501,-81.7165,54.91,82,100,6.91,CA,2021-09-24 01:53:54
74,Severobaykalsk,55.65,109.3167,45.25,68,100,4.43,RU,2021-09-24 01:53:54
75,Mahajanga,-15.7167,46.3167,68.02,64,20,6.91,MG,2021-09-24 01:53:55
76,Nioro,13.35,-15.75,76.19,96,100,4.59,GM,2021-09-24 01:53:55
77,Bengkulu,-3.8004,102.2655,82.24,69,88,1.25,ID,2021-09-24 01:53:55
78,Bambous Virieux,-20.3428,57.7575,71.85,83,75,11.5,MU,2021-09-24 01:53:51
79,Xaltianguis,17.0667,-99.8333,70.68,96,87,1.74,MX,2021-09-24 01:53:56
80,Maniitsoq,65.4167,-52.9,31.03,50,61,6.55,GL,2021-09-24 01:53:56
81,Bida,9.0833,6.0167,75.13,92,100,0.78,NG,2021-09-24 01:53:56
82,Lauro Muller,-28.3928,-49.3967,59.76,87,100,1.5,BR,2021-09-24 01:53:57
83,Bjornevatn,69.6672,29.9847,43.14,81,90,12.66,NO,2021-09-24 01:53:57
84,Thompson,55.7435,-97.8558,48.36,93,75,8.05,CA,2021-09-24 01:53:57
85,Nabire,-3.3667,135.4833,83.01,74,91,1.5,ID,2021-09-24 01:53:58
86,Mattawa,46.7379,-119.9028,74.1,39,24,4.0,US,2021-09-24 01:53:58
87,Chapais,49.7834,-74.8492,49.78,98,100,9.64,CA,2021-09-24 01:53:58
88,Barrow,71.2906,-156.7887,28.42,80,90,3.44,US,2021-09-24 01:52:13
89,Faya,18.3851,42.4509,68.11,47,48,0.51,SA,2021-09-24 01:53:59
90,Lompoc,34.6391,-120.4579,70.21,85,75,10.36,US,2021-09-24 01:53:59
91,Talcahuano,-36.7167,-73.1167,55.08,88,0,3.44,CL,2021-09-24 01:53:59
92,Ulladulla,-35.35,150.4667,78.87,37,0,12.86,AU,2021-09-24 01:53:59
93,Chuy,-33.6971,-53.4616,54.48,96,64,5.66,UY,2021-09-24 01:54:00
94,Saint-Joseph,-21.3667,55.6167,68.36,75,17,11.5,RE,2021-09-24 01:54:00
95,Sfantu Gheorghe,45.8667,25.7833,45.27,81,76,0.69,RO,2021-09-24 01:54:00
96,Fairbanks,64.8378,-147.7164,41.59,57,90,4.61,US,2021-09-24 01:49:48
97,Denpasar,-8.65,115.2167,83.86,84,20,6.91,ID,2021-09-24 01:50:52
98,Cabo San Lucas,22.8909,-109.9124,87.62,77,0,5.01,MX,2021-09-24 01:53:13
99,Tura,25.5198,90.2201,80.19,77,9,1.59,IN,2021-09-24 01:53:03
100,Sao Filipe,14.8961,-24.4956,78.62,77,100,7.38,CV,2021-09-24 01:54:01
101,Sangar,63.9242,127.4739,42.1,95,100,4.07,RU,2021-09-24 01:54:01
102,Komsomolskiy,40.4272,71.7189,59.72,44,0,4.61,UZ,2021-09-24 01:54:01
103,Pedasi,7.5333,-80.0333,77.99,85,99,10.6,PA,2021-09-24 01:54:02
104,Ures,29.4333,-110.4,85.28,68,11,7.05,MX,2021-09-24 01:54:02
105,Jamestown,42.097,-79.2353,54.07,79,90,5.99,US,2021-09-24 01:54:03
106,Snasa,64.2457,12.3778,43.14,92,100,5.93,NO,2021-09-24 01:54:03
107,Eydhafushi,5.1033,73.0708,82.62,76,89,15.05,MV,2021-09-24 01:54:03
108,Tuktoyaktuk,69.4541,-133.0374,33.8,80,75,4.61,CA,2021-09-24 01:52:50
109,Kodiak,57.79,-152.4072,44.06,73,100,18.9,US,2021-09-24 01:54:03
110,Hithadhoo,-0.6,73.0833,79.77,84,100,18.12,MV,2021-09-24 01:54:04
111,Barabai,-2.5833,115.3833,82.33,77,82,2.46,ID,2021-09-24 01:54:04
112,Ribeira Grande,38.5167,-28.7,70.07,64,61,9.48,PT,2021-09-24 01:54:05
113,Nuuk,64.1835,-51.7216,32.16,45,56,5.95,GL,2021-09-24 01:54:05
114,Bambanglipuro,-7.95,110.2833,80.78,77,95,2.17,ID,2021-09-24 01:54:05
115,Fulnek,49.7124,17.9032,62.22,72,0,16.11,CZ,2021-09-24 01:54:06
116,Sarangani,5.4033,125.4636,82.98,76,88,5.97,PH,2021-09-24 01:54:06
117,Madison,34.7334,-86.5667,58.86,83,1,0.0,US,2021-09-24 01:51:04
118,Sakakah,29.9697,40.2064,74.77,46,0,7.81,SA,2021-09-24 01:54:06
119,Srednekolymsk,67.45,153.6833,40.95,63,97,2.71,RU,2021-09-24 01:54:07
120,Kaitangata,-46.2817,169.8464,57.27,47,32,10.56,NZ,2021-09-24 01:54:07
121,Kirakira,-10.4544,161.9205,83.79,74,54,9.33,SB,2021-09-24 01:54:07
122,Sur,22.5667,59.5289,84.33,68,8,6.22,OM,2021-09-24 01:54:07
123,Vardo,70.3705,31.1107,46.81,78,100,23.38,NO,2021-09-24 01:54:08
124,Rocha,-34.4833,-54.3333,50.92,97,42,2.84,UY,2021-09-24 01:54:08
125,Kaffrine,14.1059,-15.5508,77.09,92,93,5.46,SN,2021-09-24 01:54:09
126,Torbay,47.6666,-52.7314,56.75,89,75,6.91,CA,2021-09-24 01:54:09
127,Sarahan,31.5167,77.8,61.68,70,8,1.48,IN,2021-09-24 01:54:09
128,Kruisfontein,-34.0033,24.7314,53.89,82,100,7.58,ZA,2021-09-24 01:54:10
129,Tuatapere,-46.1333,167.6833,52.83,66,98,9.33,NZ,2021-09-24 01:54:10
130,Ponta Do Sol,32.6667,-17.1,70.43,52,26,3.65,PT,2021-09-24 01:54:11
131,Russell,32.3502,-85.1999,63.63,89,1,0.0,US,2021-09-24 01:54:11
132,Palauig,15.435,119.9045,85.8,67,51,4.43,PH,2021-09-24 01:54:11
133,Paita,-5.0892,-81.1144,64.4,87,10,9.37,PE,2021-09-24 01:54:12
134,Luderitz,-26.6481,15.1594,58.3,61,19,12.12,NA,2021-09-24 01:54:12
135,Lima,-12.0432,-77.0282,60.91,80,75,5.75,PE,2021-09-24 01:49:40
136,Airai,-8.9266,125.4092,77.83,30,37,2.64,TL,2021-09-24 01:54:12
137,Kavaratti,10.5669,72.642,81.81,78,93,13.47,IN,2021-09-24 01:54:04
138,Butaritari,3.0707,172.7902,82.6,76,6,14.99,KI,2021-09-24 01:53:01
139,Severo-Kurilsk,50.6789,156.125,48.51,90,100,25.52,RU,2021-09-24 01:54:13
140,Upernavik,72.7868,-56.1549,27.63,94,100,11.9,GL,2021-09-24 01:54:13
141,Vestmannaeyjar,63.4427,-20.2734,42.46,86,96,23.89,IS,2021-09-24 01:54:13
142,Kununurra,-15.7667,128.7333,87.78,8,29,12.66,AU,2021-09-24 01:54:14
143,Englewood,39.6478,-104.9878,75.51,24,100,10.04,US,2021-09-24 01:54:14
144,Jijiang,29.2906,106.2542,88.39,73,7,3.87,CN,2021-09-24 01:54:15
145,Hilo,19.7297,-155.09,79.79,78,36,3.0,US,2021-09-24 01:54:15
146,Guider,9.9342,13.9486,72.91,87,100,2.93,CM,2021-09-24 01:54:15
147,Cabra,37.4725,-4.4421,73.4,69,100,2.93,ES,2021-09-24 01:53:00
148,Longyearbyen,78.2186,15.6401,44.44,81,75,18.41,SJ,2021-09-24 01:54:16
149,Bredasdorp,-34.5322,20.0403,49.32,87,18,5.75,ZA,2021-09-24 01:54:16
150,Lorengau,-2.0226,147.2712,84.61,68,100,9.95,PG,2021-09-24 01:54:16
