City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,Hermanus,-34.4187,19.2345,66.9,77,37,8.14,ZA,2021-09-26 16:21:14
69,Quatre Cocos,-20.2078,57.7625,71.71,83,24,14.99,MU,2021-09-26 16:21:14
70,Cervo,43.6702,-7.4101,72.19,67,100,2.53,ES,2021-09-26 16:21:15
71,Astorga,-23.2325,-51.6656,86.4,26,60,6.26,BR,2021-09-26 16:21:15
72,Chapleau,47.8405,-83.4034,53.69,82,75,4.61,CA,2021-09-26 16:18:45
73,Rio Grande,-32.035,-52.0986,68.95,69,0,6.89,BR,2021-09-26 16:19:02
74,Avarua,-21.2078,-159.775,69.85,94,75,3.44,CK,2021-09-26 16:21:16
75,Kieta,-6.2167,155.6333,78.58,83,56,1.92,PG,2021-09-26 16:21:16
76,Clarksville,36.5298,-87.3595,73.92,60,1,5.75,US,2021-09-26 16:21:16
77,Bredasdorp,-34.5322,20.0403,63.28,72,78,11.5,ZA,2021-09-26 16:21:17
78,Suez,29.9737,32.5263,80.33,56,4,18.3,EG,2021-09-26 16:21:17
79,Katherine,-14.4667,132.2667,79.12,47,81,5.75,AU,2021-09-26 16:21:18
80,Novichikha,52.204,81.3877,30.29,77,7,3.62,RU,2021-09-26 16:21:18
81,Meadow Lake,34.8014,-106.5436,73.4,54,82,5.82,US,2021-09-26 16:21:18
82,Angoche,-16.2325,39.9086,76.73,77,5,6.08,MZ,2021-09-26 16:21:19
83,Hobart,-42.8794,147.3294,41.05,87,6,1.99,AU,2021-09-26 16:21:19
84,Tilichiki,60.4667,166.1,40.21,92,100,4.68,RU,2021-09-26 16:21:19
85,Wanning,18.8003,110.3967,79.18,87,22,4.09,CN,2021-09-26 16:21:20
86,Berlevag,70.8578,29.0864,47.44,79,100,14.05,NO,2021-09-26 16:21:20
87,Beringovskiy,63.05,179.3167,36.1,60,82,5.32,RU,2021-09-26 16:21:21
88,Dikson,73.5069,80.5464,36.64,83,100,20.76,RU,2021-09-26 16:21:21
89,Santa Maria,-29.6842,-53.8069,69.1,78,0,5.75,BR,2021-09-26 16:21:21
