,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Quatre Cocos,MU,69.1,light rain,-20.2078,57.7625,
97,Constitucion,CL,59.47,overcast clouds,-35.3333,-72.4167,
98,Mattru,SL,75.36,moderate rain,7.6244,-11.8332,
99,Urumqi,CN,52.75,clear sky,43.801,87.6005,
100,Dikson,RU,36.54,overcast clouds,73.5069,80.5464,
101,Chuy,UY,68.72,few clouds,-33.6971,-53.4616,
102,Hermanus,ZA,62.91,scattered clouds,-34.4187,19.2345,
103,Punta De Bombon,PE,63.59,broken clouds,-17.1717,-71.7931,
104,Kaitangata,NZ,32.76,few clouds,-46.2817,169.8464,
105,Kapaa,US,78.12,light rain,22.0752,-159.319,
106,Cockburn Town,TC,82.89,clear sky,21.4612,-71.1419,
107,Esperance,AU,53.44,scattered clouds,-33.8667,121.9,
108,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,
109,Torbay,CA,64.89,scattered clouds,47.6666,-52.7314,
110,Byron Bay,AU,58.05,light rain,-28.65,153.6167,
111,Carnarvon,AU,59.07,scattered clouds,-24.8667,113.6333,
112,Cap Malheureux,MU,70.29,moderate rain,-19.9842,57.6142,
113,Ribeira Grande,PT,70.2,broken clouds,38.5167,-28.7,
114,Tutoia,BR,85.98,scattered clouds,-2.7619,-42.2744,
115,Charcas,MX,66.49,overcast clouds,23.1333,-101.1167,
116,Ullapool,GB,64.76,moderate rain,57.8987,-5.1604,
117,Laguna,US,83.25,few clouds,38.421,-121.4238,
118,Gazojak,TM,59.27,broken clouds,41.1875,61.4036,
119,Ekibastuz,KZ,37.99,broken clouds,51.6667,75.3667,
120,Coihueco,CL,59.74,clear sky,-36.6167,-71.8333,
121,Hwange,ZW,77.49,clear sky,-18.3693,26.5019,
122,Aasiaat,GL,14.54,clear sky,68.7098,-52.8699,
123,Karratha,AU,70.99,clear sky,-20.7377,116.8463,
124,Hualmay,PE,68.31,scattered clouds,-11.0964,-77.6139,
125,Kendari,ID,74.23,overcast clouds,-3.945,122.4989,
126,Muros,ES,68.23,overcast clouds,42.7762,-9.0603,
127,Ponta Do Sol,PT,76.01,overcast clouds,32.6667,-17.1,
128,Hilo,US,76.8,moderate rain,19.7297,-155.09,
129,San Lorenzo,PY,95.94,clear sky,-25.3333,-57.5333,
130,Jaltenango,MX,82.54,overcast clouds,15.8719,-92.7247,
131,Kodiak,US,39.72,overcast clouds,57.79,-152.4072,
132,Hamilton,US,76.5,clear sky,39.1834,-84.5333,
133,Korla,CN,64.65,clear sky,41.7597,86.1469,
134,Aberystwyth,GB,64.67,broken clouds,52.4155,-4.0829,
135,Yei,SS,67.06,light rain,4.095,30.6779,
136,Lavrentiya,RU,29.75,overcast clouds,65.5833,-171.0,
137,Victoria,HK,85.32,light rain,22.2855,114.1577,
138,Bengkulu,ID,75.25,overcast clouds,-3.8004,102.2655,
139,Katsuura,JP,66.31,broken clouds,35.1333,140.3,
140,Yellowknife,CA,39.42,broken clouds,62.456,-114.3525,
141,Gela,IT,79.34,overcast clouds,37.0803,14.2307,
142,Catamayo,EC,83.75,overcast clouds,-3.9833,-79.35,
143,Cidreira,BR,68.59,clear sky,-30.1811,-50.2056,
144,Xiongzhou,CN,78.94,light rain,25.1167,114.3,
145,Impfondo,CG,74.32,scattered clouds,1.6381,18.0667,
146,Moron,AR,79.95,clear sky,-34.6534,-58.6198,
147,Flinders,AU,53.19,overcast clouds,-34.5833,150.8552,
148,Thompson,CA,53.76,scattered clouds,55.7435,-97.8558,
149,Nova Serrana,BR,92.77,few clouds,-19.8761,-44.9836,
150,Banda Aceh,ID,78.82,overcast clouds,5.5577,95.3222,
151,Portel,BR,94.75,overcast clouds,-1.9356,-50.8211,
152,Vasyshcheve,UA,55.58,scattered clouds,49.8285,36.3269,
153,Portland,US,65.57,broken clouds,45.5234,-122.6762,
154,College,US,31.59,overcast clouds,64.8569,-147.8028,
