,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Banamba,ML,84.6,broken clouds,13.55,-7.45,
422,Lorengau,PG,80.28,broken clouds,-2.0226,147.2712,
423,Maniitsoq,GL,33.26,clear sky,65.4167,-52.9,
424,Nauta,PE,96.75,broken clouds,-4.5061,-73.5757,
425,Nara,JP,69.08,overcast clouds,34.6851,135.8049,
426,Kashi,CN,67.05,clear sky,39.4547,75.9797,
427,Sioux Lookout,CA,61.57,broken clouds,50.1001,-91.917,
428,Vallenar,CL,90.27,clear sky,-28.5708,-70.7581,
429,Karwar,IN,78.04,overcast clouds,14.8,74.1333,
430,Sambava,MG,71.56,scattered clouds,-14.2667,50.1667,
431,Morondava,MG,76.69,clear sky,-20.2833,44.2833,
432,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,
433,Kargil,IN,57.67,clear sky,34.5667,76.1,
434,Choix,MX,91.22,clear sky,26.7092,-108.3219,
435,Plettenberg Bay,ZA,60.78,broken clouds,-34.0527,23.3716,
436,Mezen,RU,45.01,overcast clouds,65.8522,44.24,
437,Balkanabat,TM,65.26,few clouds,39.5108,54.3671,
438,Hasaki,JP,64.29,scattered clouds,35.7333,140.8333,
439,Kaeo,NZ,52.32,overcast clouds,-35.1,173.7833,
440,Tigil,RU,43.34,overcast clouds,57.8,158.6667,
441,Markova,UA,56.79,scattered clouds,48.6758,24.4138,
442,Ambilobe,MG,72.97,broken clouds,-13.2,49.05,
443,Srandakan,ID,77.45,overcast clouds,-7.9386,110.2506,
444,Sao Felix Do Xingu,BR,91.26,broken clouds,-6.6447,-51.995,
445,Bukama,CD,82.62,broken clouds,-9.2,25.85,
446,Rocha,UY,71.6,clear sky,-34.4833,-54.3333,
447,Rosarito,MX,71.26,broken clouds,32.3333,-117.0333,
448,Novyy Urengoy,RU,33.08,clear sky,66.0833,76.6333,
449,Ipua,BR,92.64,broken clouds,-20.4381,-48.0122,
450,Inhambane,MZ,75.18,few clouds,-23.865,35.3833,
451,Tucurui,BR,97.48,overcast clouds,-3.7661,-49.6725,
452,Clonakilty,IE,56.41,overcast clouds,51.6231,-8.8706,
453,Bosaso,SO,89.51,clear sky,11.2842,49.1816,
454,Guangyuan,CN,63.55,overcast clouds,32.442,105.823,
455,Port Moresby,PG,75.33,broken clouds,-9.4431,147.1797,
456,Halifax,CA,69.1,overcast clouds,44.6453,-63.5724,
457,Havre-Saint-Pierre,CA,59.36,mist,50.2334,-63.5986,
458,Itarema,BR,85.73,broken clouds,-2.9248,-39.9167,
459,Ternate,ID,80.02,scattered clouds,0.8,127.4,
460,Ayagoz,KZ,37.63,overcast clouds,47.9714,80.4392,
461,Mayo,US,76.21,clear sky,38.8876,-76.5119,
462,Port Macquarie,AU,54.9,overcast clouds,-31.4333,152.9167,
463,Pudozh,RU,44.49,overcast clouds,61.8099,36.5345,
464,Provideniya,RU,32.68,light snow,64.3833,-173.3,
465,Severnyy,RU,50.04,clear sky,50.677,36.5532,
466,Port-Cartier,CA,56.93,overcast clouds,50.0334,-66.8654,
467,Saint Anthony,US,77.92,clear sky,45.0205,-93.218,
468,Shimoda,JP,64.11,broken clouds,34.6667,138.95,
469,Saldanha,ZA,59.13,clear sky,-33.0117,17.9442,
470,Talcahuano,CL,58.68,clear sky,-36.7167,-73.1167,
471,Stornoway,GB,52.93,few clouds,58.2093,-6.3865,
472,Yamada,JP,60.6,overcast clouds,39.4667,141.95,
473,Gogrial,SS,74.05,few clouds,8.5332,28.1004,
474,Alyangula,AU,76.46,broken clouds,-13.8483,136.4192,
475,Margate,GB,65.7,overcast clouds,51.3813,1.3862,
476,Honningsvag,NO,49.53,light rain,70.9821,25.9704,
477,Woodstock,CA,69.04,scattered clouds,43.1334,-80.7497,
478,Oum Hadjer,TD,79.66,broken clouds,13.2954,19.6966,
479,Takoradi,GH,74.73,overcast clouds,4.8845,-1.7554,
480,Bima,ID,74.7,broken clouds,-8.4667,118.7167,
481,Manzhouli,CN,39.27,few clouds,49.6,117.4333,
482,Iqaluit,CA,34.7,overcast clouds,63.7506,-68.5145,
483,Sept-Iles,CA,57.25,overcast clouds,50.2001,-66.3821,
484,Tautira,PF,82.42,few clouds,-17.7333,-149.15,
485,Shagamu,NG,75.74,light rain,6.8432,3.6478,
486,Jatiroto,ID,73.13,scattered clouds,-7.8833,111.1167,
487,Ovre Ardal,NO,52.68,overcast clouds,61.3167,7.8,
488,Fushan,CN,65.59,moderate rain,37.4958,121.2581,
489,Makakilo City,US,78.28,few clouds,21.3469,-158.0858,
490,Sistranda,NO,57.16,overcast clouds,63.7256,8.834,
491,Lecce,IT,72.86,scattered clouds,40.2167,18.1667,
492,Voyvozh,RU,39.16,overcast clouds,62.892,54.9635,
493,Juneau,US,48.85,overcast clouds,58.3019,-134.4197,
494,Reconquista,AR,90.09,clear sky,-29.15,-59.65,
495,Oranzherei,RU,59.0,overcast clouds,45.8476,47.5663,
496,Jaque,PA,82.67,light rain,7.5175,-78.1703,
497,Krechevitsy,RU,46.33,scattered clouds,58.617,31.401,
498,Poronaysk,RU,48.24,scattered clouds,49.2167,143.1167,
499,Naze,JP,77.05,few clouds,28.3667,129.4833,
500,Presque Isle,US,63.03,moderate rain,46.6811,-68.0159,
501,Manicore,BR,90.57,scattered clouds,-5.8092,-61.3003,
502,Murrhardt,DE,66.36,moderate rain,48.9819,9.5705,
503,Kulhudhuffushi,MV,77.86,light rain,6.6221,73.07,
504,Lalmohan,BD,82.63,heavy intensity rain,22.3384,90.7419,
505,Siva,EG,80.35,clear sky,29.2041,25.5195,
506,Rypefjord,NO,46.87,light rain,70.6333,23.6667,
507,Zinder,NE,93.67,clear sky,13.8072,8.9881,
508,Ilulissat,GL,24.82,clear sky,69.2167,-51.1,
509,Akdepe,TM,55.4,broken clouds,42.0551,59.3788,
510,Roebourne,AU,71.4,clear sky,-20.7833,117.1333,
511,Broken Hill,AU,49.05,broken clouds,-31.95,141.4333,
512,Smithers,CA,51.33,light rain,54.7804,-127.1743,
513,Port-Gentil,GA,77.81,overcast clouds,-0.7193,8.7815,
514,Tura,IN,75.88,overcast clouds,25.5198,90.2201,
515,Sobolevo,RU,44.96,scattered clouds,54.4299,31.8996,
516,Evensk,RU,37.06,broken clouds,61.95,159.2333,
517,Esik,KZ,53.02,few clouds,43.3552,77.4525,
518,Lamar,US,90.64,clear sky,33.6668,-95.5836,
519,Awjilah,LY,78.71,clear sky,29.1081,21.2869,
520,Kabansk,RU,32.49,overcast clouds,52.0486,106.6528,
521,Tual,ID,80.55,overcast clouds,-5.6667,132.75,
522,Ayan,RU,45.23,clear sky,56.45,138.1667,
523,Gat,IL,83.39,scattered clouds,31.61,34.7642,
524,Aktau,KZ,59.58,clear sky,43.65,51.2,
525,Zhuji,CN,73.31,broken clouds,29.7188,120.2423,
526,Samarai,PG,79.16,broken clouds,-10.6167,150.6667,
527,Igboho,NG,75.78,broken clouds,8.8333,3.75,
529,Leshukonskoye,RU,45.18,overcast clouds,64.8989,45.7622,
530,Bulgan,MN,35.29,broken clouds,48.8125,103.5347,
531,Tarsus,TR,73.27,clear sky,36.9188,34.8784,
532,Taybad,IR,73.15,clear sky,34.74,60.7756,
533,Los Banos,PH,81.81,broken clouds,14.1667,121.1833,
534,Aksha,RU,36.01,clear sky,50.2814,113.2867,
535,Paita,PE,73.96,overcast clouds,-5.0892,-81.1144,
536,Pemangkat,ID,78.93,overcast clouds,1.1667,108.9667,
537,Suntar,RU,36.34,overcast clouds,62.1444,117.6319,
538,Funadhoo,MV,77.67,light rain,6.15,73.2667,
539,Coahuayana,MX,89.11,overcast clouds,18.7333,-103.6833,
540,Qaqortoq,GL,45.1,clear sky,60.7167,-46.0333,
541,Sabha,LY,80.19,clear sky,27.0377,14.4283,
542,Mumford,GH,77.11,overcast clouds,5.2618,-0.759,
543,Mikuni,JP,68.52,broken clouds,36.2171,136.1519,
544,La Ronge,CA,58.6,scattered clouds,55.1001,-105.2842,
545,Kondinskoye,RU,31.89,few clouds,59.6481,67.41,
546,Zhanaozen,KZ,56.93,few clouds,43.3,52.8,
547,Phuket,TH,75.42,few clouds,8.0,98.25,
548,Burla,IN,76.3,overcast clouds,21.5,83.8667,
549,Kristiinankaupunki,FI,47.66,few clouds,62.2743,21.376,
550,Newport,GB,66.74,overcast clouds,51.5877,-2.9984,
551,Mount Gambier,AU,42.46,overcast clouds,-37.8333,140.7667,
552,Takaka,NZ,45.55,overcast clouds,-40.85,172.8,
553,Kamina,CD,76.98,overcast clouds,-8.7386,24.9906,
554,Puerto Guzman,CO,88.99,overcast clouds,0.9703,-76.5858,
555,Tuensang,IN,67.78,scattered clouds,26.2833,94.8333,
556,Pavlovo,RU,49.35,light rain,55.9686,43.0912,
557,Sakakah,SA,83.32,clear sky,29.9697,40.2064,
558,Whitehorse,CA,35.1,light snow,60.7161,-135.0538,
559,Yablonovo,RU,49.86,broken clouds,50.8523,37.3574,
560,Kenai,US,40.14,clear sky,60.5544,-151.2583,
561,Santa Rosa,PH,83.1,broken clouds,14.3122,121.1114,
562,Northam,GB,65.66,overcast clouds,51.0333,-4.2167,
563,Kinwat,IN,76.24,overcast clouds,19.6333,78.2,
564,Ransang,PH,78.85,broken clouds,8.9603,117.5828,
565,Honolulu,US,82.22,few clouds,21.3069,-157.8583,
566,Kissidougou,GN,74.66,light rain,9.1848,-10.0999,
567,Berlevag,NO,50.0,overcast clouds,70.8578,29.0864,
568,Batagay-Alyta,RU,24.44,broken clouds,67.8006,130.4114,
569,Ambunti,PG,73.49,broken clouds,-4.2365,142.8448,
570,Svecha,RU,45.5,overcast clouds,58.2785,47.5164,
571,Saint-Augustin,CA,57.15,overcast clouds,51.226,-58.6502,
572,Putina,PE,54.86,scattered clouds,-15.4667,-69.4333,
573,Swindon,GB,65.16,few clouds,51.558,-1.7812,
574,Mizdah,LY,78.17,broken clouds,31.4451,12.9801,
575,Naantali,FI,50.86,clear sky,60.4674,22.0243,
576,Chaohu,CN,75.63,light rain,31.6,117.8667,
577,Ostrovnoy,RU,44.67,overcast clouds,68.0531,39.5131,
578,Murgab,TM,76.87,overcast clouds,37.4966,61.9714,
579,Fare,PF,78.89,clear sky,-16.7,-151.0167,
580,Prince Rupert,CA,50.09,light rain,54.3161,-130.3201,
581,Pandan,PH,80.17,overcast clouds,14.0453,124.1694,
582,Marquette,US,62.76,broken clouds,46.5333,-87.6335,
583,Atbasar,KZ,44.49,overcast clouds,51.8,68.3333,
584,Saint-Leu,RE,70.66,broken clouds,-21.15,55.2833,
585,Axim,GH,75.0,light rain,4.8699,-2.2405,
586,Rosetta,EG,75.0,clear sky,31.4044,30.4164,
587,La Palma,US,77.11,overcast clouds,33.8464,-118.0467,
588,Tadine,NC,68.05,broken clouds,-21.55,167.8833,
589,Dire Dawa,ET,79.03,broken clouds,9.5931,41.8661,
590,Santo Antonio Do Sudoeste,BR,90.66,clear sky,-26.0736,-53.7253,
591,Norrkoping,SE,56.39,clear sky,58.5942,16.1826,
592,Kavaratti,IN,81.55,broken clouds,10.5669,72.642,
593,Beisfjord,NO,53.96,overcast clouds,68.3751,17.5988,
594,Harper,LR,75.4,light rain,4.375,-7.7169,
595,Santa Isabel Do Rio Negro,BR,90.52,broken clouds,-0.4139,-65.0192,
596,Jardim,BR,99.09,scattered clouds,-21.4803,-56.1381,
597,Mogok,MM,68.63,overcast clouds,22.9167,96.5,
598,Shache,CN,69.42,clear sky,38.4167,77.2406,
599,Ketchikan,US,52.23,overcast clouds,55.3422,-131.6461,
600,Porto Novo,BJ,77.0,moderate rain,6.4965,2.6036,
601,Buenos Aires,AR,80.92,clear sky,-34.6132,-58.3772,
602,Warrington,GB,65.35,few clouds,53.3925,-2.5802,
603,Falun,SE,53.94,overcast clouds,60.6036,15.626,
604,Meadow Lake,US,79.39,broken clouds,34.8014,-106.5436,
605,Berdigestyakh,RU,32.65,overcast clouds,62.0989,126.6992,
606,Najran,SA,78.57,clear sky,17.4924,44.1277,
607,The Valley,AI,88.11,scattered clouds,18.217,-63.0578,
608,Tabas,IR,79.79,clear sky,33.5959,56.9244,
609,Ancud,CL,49.1,few clouds,-41.8697,-73.8203,
610,Claremont,US,88.3,haze,34.0967,-117.7198,
611,Alugan,PH,77.41,broken clouds,12.2188,125.4808,
612,Mananjary,MG,69.28,clear sky,-21.2167,48.3333,
613,Pangkalanbuun,ID,72.54,overcast clouds,-2.6833,111.6167,
614,Guhagar,IN,77.18,overcast clouds,17.4842,73.1929,
615,Alta Floresta,BR,90.01,light rain,-9.8756,-56.0861,
616,Volax,GR,63.48,clear sky,41.3167,24.0,
617,Maldonado,UY,70.23,clear sky,-34.6667,-54.9167,
618,Baley,RU,35.55,broken clouds,51.6,116.6333,
619,Grand Gaube,MU,69.39,light rain,-20.0064,57.6608,
620,Vostok,RU,44.98,clear sky,46.4856,135.8833,
621,Rock Springs,US,74.23,clear sky,41.5875,-109.2029,
622,Dzhebariki-Khaya,RU,31.32,clear sky,62.2167,135.8,
623,Mounana,GA,78.15,overcast clouds,-1.4085,13.1586,
624,Kutum,SD,76.51,broken clouds,14.2,24.6667,
625,Amahai,ID,77.47,overcast clouds,-3.3333,128.9167,
626,Yemelyanovo,RU,36.41,scattered clouds,56.1681,92.6767,
627,Muzhi,RU,31.53,broken clouds,65.3667,64.6667,
628,Ploemeur,FR,65.55,overcast clouds,47.7333,-3.4333,
629,Hofn,IS,44.08,overcast clouds,64.2539,-15.2082,
630,Kyzyl-Suu,KG,58.66,clear sky,42.3414,78.0056,
631,Show Low,US,61.3,broken clouds,34.2542,-110.0298,
632,Kangaatsiaq,GL,24.58,clear sky,68.3065,-53.4641,
633,Harer,ET,64.35,overcast clouds,9.3094,42.1258,
634,Ulladulla,AU,48.87,overcast clouds,-35.35,150.4667,
635,Naryan-Mar,RU,41.65,overcast clouds,67.6713,53.087,
636,Reitz,ZA,72.79,scattered clouds,-27.8014,28.4273,
637,Durban,ZA,68.92,broken clouds,-29.8579,31.0292,
638,Maraa,BR,87.67,broken clouds,-1.8333,-65.3667,
639,Campbell River,CA,56.59,light intensity drizzle,50.0163,-125.2446,
640,Zyryanskoye,RU,34.66,broken clouds,56.8306,86.6258,
641,Laela,TZ,74.8,broken clouds,-8.5667,32.05,
642,Praia,CV,82.94,broken clouds,14.9215,-23.5087,
643,Vilyuysk,RU,30.47,overcast clouds,63.7553,121.6247,
644,Darnah,LY,74.93,clear sky,32.767,22.6367,
645,Okhotsk,RU,41.54,clear sky,59.3833,143.3,
646,Lahat,ID,72.77,overcast clouds,-3.8,103.5333,
647,Aklavik,CA,31.03,overcast clouds,68.2191,-135.0107,
648,Talaya,RU,24.6,overcast clouds,61.3833,152.75,
649,Lugoba,TZ,72.3,scattered clouds,-6.45,38.3333,
651,Camopi,GF,96.78,broken clouds,3.1655,-52.3158,
652,Uwajima,JP,69.19,broken clouds,33.2238,132.56,
653,Coos Bay,US,64.24,overcast clouds,43.3665,-124.2179,
654,Jepara,ID,75.67,broken clouds,-5.1695,105.7044,
655,Derzhavinsk,KZ,51.28,overcast clouds,51.1,66.3167,
656,Port Shepstone,ZA,67.51,overcast clouds,-30.7414,30.455,
657,Tuni,IN,76.91,very heavy rain,17.35,82.55,
658,Beckley,US,66.7,clear sky,37.7782,-81.1882,
659,Jackson,US,70.75,clear sky,42.4165,-122.8345,
660,Laplace,US,84.18,clear sky,30.0666,-90.4801,
661,Inta,RU,35.24,overcast clouds,66.0317,60.1659,
662,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,
663,Half Moon Bay,US,71.87,overcast clouds,37.4636,-122.4286,
664,Kudal,IN,76.84,overcast clouds,16.0333,73.6833,
665,Pierre,US,81.99,clear sky,44.3683,-100.351,
666,Dhidhdhoo,MV,77.99,light rain,6.8833,73.1,
667,Colon,PA,87.82,overcast clouds,9.3592,-79.9014,
668,Lulea,SE,48.27,clear sky,65.5842,22.1547,
669,Mayumba,GA,75.97,overcast clouds,-3.432,10.6554,
670,Shelburne,CA,63.66,broken clouds,44.0787,-80.2041,
671,Nelson Bay,AU,54.95,clear sky,-32.7167,152.15,
672,Arawa,PG,76.3,broken clouds,-6.2132,155.5367,
673,Guymon,US,91.4,clear sky,36.6828,-101.4816,
674,Verkhnyaya Inta,RU,35.29,overcast clouds,65.9811,60.3094,
675,Yulara,AU,69.64,overcast clouds,-25.2406,130.9889,
676,Pavelets,RU,44.58,light rain,53.7883,39.246,
677,Waingapu,ID,74.89,broken clouds,-9.6567,120.2641,
678,Grand Baie,MU,69.46,few clouds,-20.0182,57.5802,
679,Svetlaya,RU,53.15,clear sky,46.5389,138.3297,
680,Vila Franca Do Campo,PT,72.19,overcast clouds,37.7167,-25.4333,
681,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,
682,Roma,US,70.83,broken clouds,43.2128,-75.4557,
683,Oro Valley,US,81.45,scattered clouds,32.3909,-110.9665,"El Conquistador Tucson, A Hilton Resort"
